id,char,numeric
1377,1452.8,char378
1378,1454,char379
1379,1455.2,char380
1380,1456.4,char381
1381,1457.6,char382
1382,1458.8,char383
1383,1460,char384
1384,1461.2,char385
1385,1462.4,char386
1386,1463.6,char387
1387,1464.8,char388
1388,1466,char389
1389,1467.2,char390
1390,1468.4,char391
1391,1469.6,char392
1392,1470.8,char393
1393,1472,char394
1394,1473.2,char395
1395,1474.4,char396
1396,1475.6,char397
1397,1476.8,char398
1398,1478,char399
1399,1479.2,char400
1400,1480.4,char401
1401,1481.6,char402
1402,1482.8,char403
1403,1484,char404
1404,1485.2,char405
1405,1486.4,char406
1406,1487.6,char407
1407,1488.8,char408
1408,1490,char409
1409,1491.2,char410
1410,1492.4,char411
1411,1493.6,char412
1412,1494.8,char413
1413,1496,char414
1414,1497.2,char415
1415,1498.4,char416
1416,1499.6,char417
1417,1500.8,char418
1418,1502,char419
1419,1503.2,char420
1420,1504.4,char421
1421,1505.6,char422
1422,1506.8,char423
1423,1508,char424
1424,1509.2,char425
1425,1510.4,char426
1426,1511.6,char427
1427,1512.8,char428
1428,1514,char429
1429,1515.2,char430
1430,1516.4,char431
1431,1517.6,char432
1432,1518.8,char433
1433,1520,char434
1434,1521.2,char435
1435,1522.4,char436
1436,1523.6,char437
1437,1524.8,char438
1438,1526,char439
1439,1527.2,char440
1440,1528.4,char441
1441,1529.6,char442
1442,1530.8,char443
1443,1532,char444
1444,1533.2,char445
1445,1534.4,char446
1446,1535.6,char447
1447,1536.8,char448
1448,1538,char449
1449,1539.2,char450
1450,1540.4,char451
1451,1541.6,char452
1452,1542.8,char453
1453,1544,char454
1454,1545.2,char455
1455,1546.4,char456
1456,1547.6,char457
1457,1548.8,char458
1458,1550,char459
1459,1551.2,char460
1460,1552.4,char461
1461,1553.6,char462
1462,1554.8,char463
1463,1556,char464
1464,1557.2,char465
1465,1558.4,char466
1466,1559.6,char467
1467,1560.8,char468
1468,1562,char469
1469,1563.2,char470
1470,1564.4,char471
1471,1565.6,char472
1472,1566.8,char473
1473,1568,char474
1474,1569.2,char475
1475,1570.4,char476
1476,1571.6,char477
1477,1572.8,char478
1478,1574,char479
1479,1575.2,char480
1480,1576.4,char481
1481,1577.6,char482
1482,1578.8,char483
1483,1580,char484
1484,1581.2,char485
1485,1582.4,char486
1486,1583.6,char487
1487,1584.8,char488
1488,1586,char489
1489,1587.2,char490
1490,1588.4,char491
1491,1589.6,char492
1492,1590.8,char493
1493,1592,char494
1494,1593.2,char495
1495,1594.4,char496
1496,1595.6,char497
1497,1596.8,char498
1498,1598,char499
1499,1599.2,char500
